,name,code
670,코맥스,036690.KQ
671,코세스,089890.KQ
672,코스맥스엔비티,222040.KQ
673,코스메카코리아,241710.KQ
674,코엔텍,029960.KQ
675,코텍,052330.KQ
676,큐캐피탈,016600.KQ
677,크리스탈신소재,900250.KQ
678,트루윈,105550.KQ
679,티로보틱스,117730.KQ
680,파마리서치프로덕트,214450.KQ
681,파인디앤씨,049120.KQ
682,파인텍,131760.KQ
683,펩트론,087010.KQ
684,포스링크,056730.KQ
685,풍국주정,023900.KQ
686,퓨쳐켐,220100.KQ
687,피씨디렉트,051380.KQ
688,피앤텔,054340.KQ
689,피에스케이홀딩스,031980.KQ
690,한국유니온제약,080720.KQ
691,한국컴퓨터,054040.KQ
692,한글과컴퓨터,030520.KQ
693,한일사료,005860.KQ
694,행남사,008800.KQ
695,헝셩그룹,900270.KQ
696,현대바이오,048410.KQ
697,휴온스,243070.KQ
698,CNH,023460.KQ
699,DMS,068790.KQ
700,IBKS제11호스팩,335890.KQ
701,ITX엠투엠,099520.KQ
702,KBI메탈,024840.KQ
703,KH바텍,060720.KQ
704,KMH하이텍,052900.KQ
705,KPX생명과학,114450.KQ
706,KTH,036030.KQ
707,SBS콘텐츠허브,046140.KQ
708,SG&G,040610.KQ
709,SGA,049470.KQ
710,TPC,048770.KQ
711,TS인베스트먼트,246690.KQ
712,W홀딩컴퍼니,052300.KQ
713,가온미디어,078890.KQ
714,경동제약,011040.KQ
715,고영,098460.KQ
716,골드퍼시픽,038530.KQ
717,골든센츄리,900280.KQ
718,광진윈텍,090150.KQ
719,구영테크,053270.KQ
720,국보디자인,066620.KQ
721,나이스정보통신,036800.KQ
722,남화산업,111710.KQ
723,네스엠,056000.KQ
724,네오오토,212560.KQ
725,네오위즈,095660.KQ
726,네오크레마,311390.KQ
727,네이블커뮤니케이션즈,153460.KQ
728,넷게임즈,225570.KQ
729,노바텍,285490.KQ
730,녹십자엠에스,142280.KQ
731,뉴보텍,060260.KQ
732,다날,064260.KQ
733,다우데이타,032190.KQ
734,대원미디어,048910.KQ
735,대호피앤씨,021040.KQ
736,대화제약,067080.KQ
737,데브시스터즈,194480.KQ
738,동아화성,041930.KQ
739,디앤씨미디어,263720.KQ
740,디이엔티,079810.KQ
741,라닉스,317120.KQ
742,라온피플,300120.KQ
743,로스웰,900260.KQ
744,리더스코스메틱,016100.KQ
745,메가엠디,133750.KQ
746,메드팩토,235980.KQ
747,메카로,241770.KQ
748,멜파스,096640.KQ
749,모베이스,101330.KQ
750,모아텍,033200.KQ
751,미래에셋대우스팩4호,333430.KQ
752,바이오스마트,038460.KQ
753,바텍,043150.KQ
754,보광산업,225530.KQ
755,본느,226340.KQ
756,브릿지바이오,288330.KQ
757,블러썸엠앤씨,263920.KQ
758,비디아이,148140.KQ
759,비엠티,086670.KQ
760,비츠로셀,082920.KQ
761,비츠로시스,054220.KQ
762,삼기오토모티브,122350.KQ
763,삼보모터스,053700.KQ
764,삼영엠텍,054540.KQ
765,삼천당제약,000250.KQ
766,샘코,263540.KQ
767,서울옥션,063170.KQ
768,서한,011370.KQ
769,성도이엔지,037350.KQ
770,성우전자,081580.KQ
771,세원물산,024830.KQ
772,셀바스AI,108860.KQ
773,스맥,099440.KQ
774,스카이문스테크놀로지,033790.KQ
775,시너지이노베이션,048870.KQ
776,시노펙스,025320.KQ
777,시큐브,131090.KQ
778,신성델타테크,065350.KQ
779,신화인터텍,056700.KQ
780,씨젠,096530.KQ
781,아난티,025980.KQ
782,아이진,185490.KQ
783,아이컴포넌트,059100.KQ
784,아즈텍WB,032080.KQ
785,안랩,053800.KQ
786,안트로젠,065660.KQ
787,알서포트,131370.KQ
788,애니플러스,310200.KQ
789,어보브반도체,102120.KQ
790,에버다임,041440.KQ
791,에스넷,038680.KQ
792,에스디시스템,121890.KQ
793,에스앤에스텍,101490.KQ
794,에스에이엠티,031330.KQ
795,에스와이,109610.KQ
796,에스제이케이,080440.KQ
797,에스티큐브,052020.KQ
798,에스피지,058610.KQ
799,에이피티씨,089970.KQ
800,에코마케팅,230360.KQ
801,에코바이오,038870.KQ
802,에코캡,128540.KQ
803,에프앤리퍼블릭,064090.KQ
804,에프엔에스테크,083500.KQ
805,엔에스엔,031860.KQ
806,엔에이치스팩13호,310840.KQ
807,엔에이치스팩15,339950.KQ
808,엠아이텍,179290.KQ
809,엠에스오토텍,123040.KQ
810,엠케이전자,033160.KQ
811,오스템임플란트,048260.KQ
812,오이솔루션,138080.KQ
813,올리패스,244460.KQ
814,와이엠씨,155650.KQ
815,와이엠티,251370.KQ
816,와이제이엠게임즈,193250.KQ
817,우리조명,037400.KQ
818,원익IPS,240810.KQ
819,유니슨,018000.KQ
820,유니크,011320.KQ
821,유아이디,069330.KQ
822,유아이엘,049520.KQ
823,이상네트웍스,080010.KQ
824,이테크건설,016250.KQ
825,이퓨쳐,134060.KQ
826,이화공영,001840.KQ
827,인텔리안테크,189300.KQ
828,인피니트헬스케어,071200.KQ
829,일신바이오,068330.KQ
830,장원테크,174880.KQ
831,제낙스,065620.KQ
832,제닉,123330.KQ
833,제이씨케미칼,137950.KQ
834,좋은사람들,033340.KQ
835,중앙백신,072020.KQ
836,지니틱스,303030.KQ
837,지엔원에너지,270520.KQ
838,청보산업,013720.KQ
839,카스,016920.KQ
840,케이비17호스팩,317030.KQ
841,케이에스피,073010.KQ
842,코디,080530.KQ
843,코리아센터,290510.KQ
844,큐리언트,115180.KQ
845,큐브앤컴퍼니,043090.KQ
846,크린앤사이언스,045520.KQ
847,태웅,044490.KQ
848,테라셈,182690.KQ
849,토박스코리아,215480.KQ
850,티케이케미칼,104480.KQ
851,팅크웨어,084730.KQ
852,파이오링크,170790.KQ
853,팜스토리,027710.KQ
854,푸드나무,290720.KQ
855,푸른저축은행,007330.KQ
856,프리엠스,053160.KQ
857,플랜티넷,075130.KQ
858,플레이위드,023770.KQ
859,피엔티,137400.KQ
860,피제이메탈,128660.KQ
861,하나머티리얼즈,166090.KQ
862,한국선재,025550.KQ
863,한국전자인증,041460.KQ
864,한국정보공학,039740.KQ
865,한국큐빅,021650.KQ
866,한국테크놀로지,053590.KQ
867,한독크린텍,256150.KQ
868,한양이엔지,045100.KQ
869,한프,066110.KQ
870,한화플러스제1호스팩,340440.KQ
871,현대사료,016790.KQ
872,현우산업,092300.KQ
873,홈캐스트,064240.KQ
874,휴메딕스,200670.KQ
875,3S,060310.KQ
876,EMW,079190.KQ
877,JYP Ent.,035900.KQ
878,RFHIC,218410.KQ
879,경남제약,053950.KQ
880,고려신용정보,049720.KQ
881,광진실업,026910.KQ
882,국영지앤엠,006050.KQ
883,그린플러스,186230.KQ
884,기산텔레콤,035460.KQ
885,나무기술,242040.KQ
886,나이스디앤비,130580.KQ
887,네오셈,253590.KQ
888,네패스,033640.KQ
889,대동금속,020400.KQ
890,대림제지,017650.KQ
891,대신밸런스제6호스팩,307750.KQ
892,대신정보통신,020180.KQ
